Question;Answer;
What is the purpose of worship in Islam?;The purpose of worship in Islam is to be God conscious. Thus the worship whether it is prayer fasting or charity is a means to achieve God consciousness so that when one becomes conscious of God in thought and in action. He is in a better position to receive his bounties both in this world and the hereafter;
What do Muslims believe about Mary?;Muslims generally believe that she is the Virgin Mother of the Prophet Jesus. An entire chapter in the Quran is named after her. The chapter called Mary (Maryam in Arabic) and other verses in the Quran emphasize her piety  righteousness and status as an exemplar for all people male and female;
On which night was the Quran first revealed?;LailatulQadr;
Who revealed the Quran?;Allah revealed the Quran;
Through whom was the Quran revealed?;Through Angel Jibraeel;
To whom was the Quran revealed?;To the last Prophet Muhammad ;
Who took the responsibility of keeping the Quran safe?;Allah himself;
How many Surahs(chapters) are there in the Quran?;114;
What are the conditions for holding or touching the Quran?;One has to be clean and to be with ablution;
Which is the smallest Surah(chapter) in the Quran?;Surah-al-Baqarah;
Which is the longest Surah(Chapter) in the Quran?;Surah-al-Kausar;
How many Makki Surahs(chapters) are there in the Quran?;86;
What is the name of the Prophet that mentioned and discussed most in the Quran?;Moosa(Alahis-Salaam);
Who is the relative of the Prophet Muhammad Peace be upon him, whose name is mentioned in the Quran?;Abu Lahab;
How many Madani Surahs(chapters) are there in the Quran?;28;
Which language did  Adam speak in Paradise?;Arabic;
Which Surah(chapter) is regarded as the Heart of the Quran?;Surah Yaaseen;
How many Names of Allah are mentioned in the Quran?;ninety nine;
How many parts are there in the Quran?;30;
Which Surah(chapter) in the Quran has the name of a blessed woman?;Surah Maryam;
In which Surah(chapter) the law of inheritance is mentioned?;Sura Nesa;
When I stone the Jamaraat is it necessary to hit the target?;It is acceptable if the stone falls into the circle without hitting the target;
How many verses are there in the Quran?;6666;
In which part and Surah(chapter) do you find the first verse about Sajda (Prostration)?;The 9th part/7th Chapter/Surah-al-Araaf/ Verse206;
Why do Muslims believe that the Prophet Muhammad is the final prophet?; Muslims believe that the Prophet Muhammad is the final prophet, because the Quran and Hadith state so, because the Quran and Hadith state so;
How many times is the word Allah repeated in the Quran?;2698;
What is the meaning of the word Quran?;That which is Read;
Where was the Quran revealed first ?;In the cave of Hira (Makkah);
What is it that keeps us from entering Heaven?;Worship of anyone other than Allah is the greatest sin which is called shirk and this is not forgiven except through repentance;
How many times has the Quran stressed about prayer?;700 times;
What is the Islamic view on Abortion ?;Islam considers abortion as murder and does not permit it;
What do Muslims believe about Jesus  ?;Muslims overwhelmingly revere Jesus and believe that he was born to the Virgin Mary through an act of God, just as Adam is believed to have been created by God without a father or mother. The Quran describes his conception and birth, as well as his many miracles such as healings of the sick. The Quran also emphasizes that Jesus was a great prophet of God, as well as a messenger who received revelation from God, but that he was, like all other prophets, only a human being;
Why does the Quran talk about Jesus more often than Muhammad ?;Most of the Quran depicts itself as a text addressed to Muhammad, it therefore talks less about Muhammad than it does to Muhammad about other subjects, including previous prophets such as Jesus.;
What is the Ka’bah;The Ka’bah is the cube-shaped building covered with a black cloth in Mecca that is believed by Muslims to have been the first house of worship to God. Muslims throughout the world face towards the Ka’bah when they perform each of their daily prayers.;
How will God determine who goes to heaven and hell ?;We believe that only God knows where a person will end up in the afterlife, since only God knows a person’s intentions, deeds, circumstances, and limitations. We also believe that God will judge human beings according to His complete justice on the Day of Judgment based on both their beliefs and actions, taking into account the opportunities and abilities that He gave them. In the Quran, God’s ninety-nine names include “the Judge” and “the Just.”;
If a person is a good person throughout his or her life, but does not believe in God, will he/she go to hell ?;We believe that God rewards whoever behaves righteously in this life and that God knows the innermost secrets of human hearts and will judge everyone with absolute justice.;
God’s love for humanity is a central theme in many religions. Are there similar teachings in Islam ?;We believe that God’s love for humanity is indeed central to our faith. The Quran mentions God’s compassion and mercy 192 times, as opposed to God’s wrath, which is mentioned only 17 times. Two of God’s main attributes are the “Compassionate” and the “Merciful.” Both of these names denote God’s love and care for all creation. These are the two most often mentioned names of God, since all but one of the 114 chapters in the Quran begin with “In the name of God, the Compassionate, the Merciful.” The Quran cites 99 different names or attributes of God, many of which also emphasize these characteristics, including “the Loving,” “the Giving,” “the Forgiving,” and “the Kind.”;
If everything is predestined, If God already knows if we are going to heaven or hell, why doesn’t He just put us there  ?;We believe that, unlike angels or animals, humans have the free will to choose to do good or evil in this life and that even though God knows people’s ultimate destination, they themselves do not have that knowledge. Therefore, whatever actions people commit are based on their free will, for which they are held accountable.;
How does Islam view other religions ?;We believe that respect for freedom of religion and conscience is a basic Islamic principle, and we believe that diversity, including religious diversity, is part of God’s divine plan.1 Moreover, we believe that the salvation of all people, Muslims included, lies with God alone.;
Who are “People of the Book” and what does the Quran say about them ?;The Quran refers to the followers of the previous Abrahamic holy books as “People of the Book,” which is generally interpreted to mean Jews and Christians. The Quran references their special status in its mention of the lawfulness of the meat of People of the Book and the allowance for marriage to women from these religious groups. As it does with Muslims, the Quran describes some as pious and righteous adherents to their religions, while pointing out that others fail to follow the commandments that were sent to them. The Quran also takes issue with some of the beliefs of Judaism and Christianity, such as the belief in the Trinity.;
Whom do Muslims consider to be “infidels” and how should they treat them ?;According to the Oxford English Dictionary, the English word “infidel” means “a person who does not believe in religion or who adheres to a religion other than one’s own.”The word infidel is often wrongly conflated with the Arabic word kafir. In the Quran, “kafir” usually refers to a person who not only rejects the beliefs of Islam but also takes a hostile stance toward Muslims and their religion, it is used primarily to refer to the Meccans who attacked and fought against the Muslim community.We strongly believe that people of other faiths should be treated with love and respect, affirming the Islamic principle respect for freedom of religion and conscience.;
Does Islam teach the hatred or subjugation of non-Muslims ?;We believe that hatred or subjugation of people of other faiths violates the Islamic principles of respect for human dignity and for freedom of religion and conscience. We understand the Quran explicitly to forbid the forcible imposition of religion when it states “there is no compulsion in religion” (2:256 )  and describes religious pluralism as part of God’s plan. The existence of old churches, temples, and synagogues throughout the Muslim world in places like Egypt, Turkey, Palestine, Jordan, Syria, India, and Bosnia and the existence of minority religious populations in those areas demonstrates that this command was historically followed by many Muslim societies.;
Do Muslims believe in the Bible and Torah ?;While the majority of Muslims believe in the five holy books or scriptures mentioned in the Quran as original revelations to the prophets (the Scrolls as revealed to Abraham, the Torah as revealed to Moses, the Psalms as revealed to David, the Gospel as revealed to Jesus ) , they do not believe that they have been preserved in the original form or language in which they were first revealed. However, we believe that the Quran contains the same principles included in these previous scriptures.;
What is your proof of the authenticity of the Quran ?;Muslim historians and scholars describe the history of the Quran and the efforts of Muslims since the early days of Islam to preserve the Quran in its original form. During the Prophet Muhammad’s life, scores of people memorized, recited, and wrote down the Quran. Shortly after the death of the Prophet Muhammad, the Quran was compiled and transcribed by experts who carefully verified every verse by matching it against both the written word and memorized verses. The completed transcript was then copied and distributed across the growing Islamic empire. These copies served as the basis for all copies of the Quran written or printed since.While translations of the Quran may vary, all copies of the Quran in Arabic contain nearly identical language. This standardization, coupled with the millions of people who continue to memorize the entire Quran, ensures the text’s authenticity.;
Is it possible that Buddha is among the “unknown prophets” ?;Although Buddha was not mentioned among the 25 prophets named in the Quran, some Muslim scholars suggest that, because of the high moral standards he advocated, Buddha may have been among the “unknown prophets” who, the Quran proclaims, were assigned for every nation. The same may have been true of founders or major figures in other religious traditions.;
Are there any verses in the Quran or prophetic sayings that speak to the issue of women’s rights ?;Yes, there are many verses and sayings that speak to the issue of women’s rights. They include the following:Equal responsibilities and reward: “For the men who acquiesce to the will of God, and the women who acquiesce, the men who believe and the women who believe, the men who are devout and the women who are devout, the men who are truthful and the women who are truthful, the men who are constant and the women who are constant, the men who are humble and the women who are humble, the men who give charity and the women who give charity, the men who fast and the women who fast, the men who are chaste and the women who are chaste, and the men and women who remember God a lot, God has arranged forgiveness for them, and a magnificent reward.” (Quran, 33:35 ) “And their Lord answered them, ‘I am never unmindful of the work of a worker among you, male or female. You are from each other.’” (Quran, 3:195 ) “Whoever does right, male or female, and is a believer, We will revivify with a good life, and We will pay them their due according to the best of what they have done.” (Quran, 16:97 ) Right to earn money: “. . . to men is allotted what they earn and to women what they earn.” (Quran, 4: 32 ) Right to inherit: “For men is a share of what the parents and close relatives leave, and for women is a share of what the parents and close relatives leave, be it little or much - an obligatory share.” (Quran, 4:7 ) Rights of a daughter: “Whosoever has a daughter and does . . . not insult her, and does not favor his son over her, God will make him enter into paradise.” (Hadith/Prophetic saying ) “Whoever has three daughters and treats them kindly, they will be a protection for him against the Fire.” (Hadith/Prophetic saying )  “Parents cannot force daughters into a marriage.” (Hadith/Prophetic saying )  Rights of a wife: “The best of you is the best to his family, and I am the best among you to my family.” (Hadith/Prophetic saying ) Rights of a mother: “Paradise lies under the feet of mothers.” (Hadith/Prophetic saying ) ;
How are women treated in Muslim countries ?;There are 50 Muslim-majority countries in the world. They differ widely on women’s rights, depending on a variety of factors, including political development, social and economic circumstances, and cultural views and practices, even within a single country, there may be considerable differences because of region (urban or rural ) , education, and even family circumstances. Religion may or may not play a significant role in the rights women have.So, for example, in many Muslim-majority countries women are involved at the highest levels of education, employment, and politics, with many female physicians, engineers, lawyers, and other professionals. Muslim women have been heads of state in Bangladesh, Indonesia, Turkey, Kosovo, and Pakistan.In other countries, women’s freedoms are seriously inhibited due to oppressive patriarchal attitudes and practices.;
How do Muslims get married ?;Marriage ceremonies among Muslims, like marriage ceremonies everywhere, vary widely in different locales and cultures. However, the actual Islamic marriage ceremony generally includes the bride and groom, the bride’s father or guardian, an officiator, and two witnesses. The ceremony includes the marriage proposal and acceptance and the presenting of a gift called mahr by the groom to the bride. The wedding celebration after the ceremony varies widely from culture to culture, but generally involves food, special clothing, and some form of celebration. In some societies, there may also be several days of celebration leading up to or after the wedding.;
Is it true that Muslim men can marry more than one woman ?;It depends on the conditions. We believe that monogamy is the ideal in marriage, as reflected in God’s creation of life in pairs of male and female, as mentioned in various Quranic verses. Where polygamy is illegal, then it is illegal for Muslims to marry more than one wife, which is the case in the U.S. and other Western as well as in many Muslim countries. The Quran does, however, allow men to marry more than one wife with the condition that he treat all wives equally, a standard that even the Quran warns is difficult to achieve, clearly implying a preference for monogamy. The Quran declared polygamy permissible 1400 years ago in the context of war, when caring for orphans was a major concern, polygamy in this situation was supposed to assist widowed women with children who otherwise would have been left to fend for themselves in a brutally patriarchal social order. Polygamy was, of course, not peculiar to the Arabian peninsula, it was widespread in many cultures, including that represented by the Hebrew Bible, where the Patriarchs are all depicted as having multiple wives and Israelite kings had harems numbering in the hundreds.;
Can women marry more than one man ?;Since polygamy was only permitted to provide for widowed women and their children, this purpose would not be served by polyandry, i.e. the marriage of a woman to more than one man, hence there was no point in permitting it.;
What is the Islamic view of divorce ?;While divorce is generally allowed in Muslim communities, there is a hadith (prophetic saying )  describing divorce as “the most hated lawful thing,” because it breaks up the family. Muslims generally encourage couples considering divorce to make use of counseling and mediation. However, if these attempts fail, divorce as a last option is allowed and may, in some situations, be the best attainable outcome.;
Can women initiate a divorce ?;While the Quran describes situations where women can initiate divorce, the ease with which she can do so is often informed by interpretations or practices of Islam that vary widely from country to country. In some Muslim-majority countries, a woman can get a divorce relatively easily while in other countries the continuing influence of patriarchy makes this much more difficult.;
Is Islam opposed to modernity ?;This depends on both what is meant by “modernity” and the varied interpretations by Muslims on this subject. If by modernity one means science, the scientific method and technological advances, then we know that scientific exploration and technological innovation flourished in the Islamic cultures of the Middle Ages, commonly known as the Golden Age of Islam. And today, millions of Muslims are involved, often in leading positions, in the fields of science, mathematics, medicine, engineering and other scientific fields;
What is Sharia ?;Sharia comes from an Arabic word meaning “path to the water.” Sharia is often translated as “Islamic law,” which is not wrong, but incomplete. Sharia is divine guidance that is drawn from the Quran and Sunnah (teachings and guidance of Prophet Muhammad )  for the purpose of helping humanity worship and draw close to God and live with love, kindness, and justice towards His Creation. Sharia has five main objectives: to protect life, property, lineage, religion, and intellect. The overarching objective is to establish social justice, fairness, mercy, and security in societies. Sharia rulings or religious commandments are similar to the Ten Commandments. Both claim divine authority, but require human interpretation, are religiously binding, and in that sense are “sacred law.” Only some of them are social and, of these, only a very few intersect with government law.;
What are the sources of Sharia and how is it developed ?;Sharia is derived from the Quran and Sunnah (prophetic tradition )  by qualified scholars who use an interpretative process that includes qiyas (reasoning by analogy ) , ijma (consensus )  as well as relying on precedent. Islamic law is called fiqh in Arabic, which means “deep understanding.” Islamic law is an interpretation of Sharia and, like Halakha (Jewish law ) , is an ongoing effort and process. Sharia addresses both civil and criminal issues, and its principles regulate both personal and moral aspects of life. For the most part, Sharia is overwhelmingly concerned with personal religious observances such as prayer and fasting. Because much of Sharia is interpretative, it has a degree of flexibility that allows it to function in different societies and cultures. Thus, Islam has historically functioned in diverse areas in the world, generally with a demonstrated record of tolerance and pluralism towards different cultures and religions.;
What topics does Sharia address ?;Sharia can be divided into two broad areas: Guidance in religious worship (ibadat ) , which is the central focus of Islam. Guidance in worldly matters (mu’amalat )  such as visiting the sick, taking care of our parents, marriage, inheritance, investments and business affairs, etc;
What types of Muslims follow Sharia ?;Any observant Muslim would consider him or herself to be Sharia-adherent. It is impossible to find a Muslim who practices any Islamic ritual and does not believe himself or herself to be complying with Sharia.;
Who is Allah, and is He the same as God ? ;When talking about God, Muslims automatically think of Allah (swt ) . Allah, in Arabic language, is "God". He is the Almighty, the One Creator who created the universe, mankind and all other forms of life.;
Is it true that Adam was the first messenger of God ( swt ) ? ;Yes, Adam had the responsibility to convey God's message and laws to his descendants. From the beginning, Adam's message to the first generation of mankind was to worship One True God, Allah ;
Who is Allah, and is He the same as God  ?;When talking about God, Muslims automatically think of Allah (swt ) . Allah, in Arabic language, is "God". He is the Almighty, the One Creator who created the universe, mankind and all other forms of life.;
Is it true that Adam was the first messenger of God ?;Yes, Adam had the responsibility to convey God's message and laws to his descendants. From the beginning, Adam's message to the first generation of mankind was to worship One True God, Allah ;
Why does Satan despise humans and desire their destruction  ?;When God (swt )  created Adam, God wanted to give Adam some sort of respect, value and position among the other creations. God (swt )  commanded the Angels, including Satan from the Jinn, to prostrate to Adam as a sign of respect and not as a sign of worship. All prostrated to Adam but Satan. Satan was a mighty & a distinguished Jinn. God (swt )  asked him what made you not prostrate to Adam and disobeyed my commandment ? Satan replied, I am better than Adam, you created him from Clay and created me from Fire. God (swt )  cursed Satan. Satan vowed to destroy Adam and his descendants forever;
I am still confused, I thought Satan was an Angel like Gabriel and he has no free will but to worship God  ?;"False. If Satan was an Angel, then we wouldn't have any problems with him at all. Angels are a special creation of God (swt ) . God (swt )  created Angels from divine light (Nur ) . Angles don't have free will in doing things but to worship God (swt )  and obey his commandments. Satan, on the other hand, is a Jinn ""spirit"", and like humans, Satan and his race ""jinnkind"" have free will in their actions, free will of doing good and free will of doing bad. Ref. QURAN (18:50 )  ";
Why did God ( swt )    send messengers, and why not instead, communicated with us directly ?;First, that is God's (swt )  will. Second, and because of God's greatness and might, humans, in their earthly bodies, can't withstand God's direct presence. We would die instantly if God (swt )  would to manifest Himself to us. Only from the mercy of God (swt )  prophet Moses (as )  fell unconscious when God (swt )  began manifesting him self near the mount. The mount itself exploded to pieces. God's messengers are nothing but human beings, who ate like us, dressed like us, grew up amongst us, spoke our language in order for mankind to comprehend what they utter. God (swt )  equipped His messengers with miracles to prove the authenticity of their message;
